id_herb,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi
,Murbei,Morus alba,"Arben (Sunda); Murbai (Jawa); Kerta, kitau (Sumatera)",,"Adalah tanaman perdu yang daunnya sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang memiliki sifat antidiabetes dan antihipertensi. Khasiatnya meliputi membantu menurunkan kadar gula darah, menjaga kesehatan mata, dan memperbaiki fungsi metabolisme. Selain itu, tanaman ini juga sering digunakan sebagai pakan ulat sutra.","Stres
Gangguan pencernaan
Nyeri otot
Kulit gatal
Sakit kepala","Flavonoid, alkaloid, morusin."
,Nanas,Ananas comosus,Nanas (Indonesia); Manas (Bali); Nanati (Gorontalo); Hanas (Batak),,"Adalah tanaman buah tropis yang sering dikonsumsi untuk kesehatan. Buahnya mengandung enzim bromelain yang memiliki sifat antiinflamasi dan membantu pencernaan. Khasiatnya meliputi membantu meredakan nyeri sendi, mempercepat penyembuhan luka, dan meningkatkan imunitas. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Tidak nafsu makan
Sembelit
Sakit tenggorokan
Kulit kering
Kulit gatal","Bromelain, vitamin C, mangan."
,Nona makan sirih,Annona squamosa,Srikaya (Indonesia); Sarikaya (Kalimantan),,"Adalah tanaman buah tropis dengan rasa manis yang khas. Biji buahnya sering digunakan dalam pengobatan tradisional untuk mengatasi gangguan kulit. Khasiatnya meliputi membantu melindungi sistem imun, mengurangi risiko infeksi, dan memperbaiki kesehatan kulit. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan.","Nyeri sendi
Iritasi kulit
Kram perut
Sakit tenggorokan
Stres","Annonacin, tanin, saponin"
,Pacar air,Impatiens balsamina,Pacar air (Indonesia),,"Adalah tanaman hias dengan bunga berwarna cerah yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu mempercepat penyembuhan luka, meredakan nyeri, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Demam
Kulit gatal
Luka bakar ringan
Nyeri sendi
Sakit tenggorokan","Flavonoid, saponin, tanin"
,Pacar cina,Aglaia odorata,Pacar cina (Indonesia); Culan (Sunda); Pacar Culam (Jawa),,"Adalah tanaman hias dengan bunga kecil yang harum. Bunganya sering digunakan sebagai pewangi alami dan dalam pengobatan tradisional. Khasiatnya meliputi membantu menenangkan pikiran, meredakan stres, dan meningkatkan kualitas tidur. Selain itu, tanaman ini juga dipercaya mampu memperbaiki suasana hati.","Pilek
Luka bakar ringan
Kulit gatal
Sakit kepala
Batuk","Minyak atsiri, flavonoid, saponin"
,Padi,Oryza sativa,Beras (Indonesia); Bira (Maluku); Pari (Jawa),,"Adalah tanaman pangan utama yang bijinya menjadi sumber karbohidrat penting. Air rebusan beras atau tajin sering digunakan dalam pengobatan tradisional. Khasiatnya meliputi membantu mengatasi diare, meningkatkan energi, dan memperbaiki kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu menjaga keseimbangan gizi tubuh.","Perut kembung
Dehidrasi
Pilek
Demam
Iritasi kulit","Karbohidrat, vitamin B, mineral"
,Pala,Myristica fragrans,Pala (Indonesia); Kembang Pala (Jawa),,"Adalah tanaman rempah yang bijinya sering digunakan sebagai bumbu dan obat tradisional. Bijinya mengandung senyawa bioaktif dengan sifat antimikroba dan karminatif. Khasiatnya meliputi membantu meredakan perut kembung, meningkatkan nafsu makan, dan mengurangi stres. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan pencernaan.","Tidak nafsu makan
Pusing
Perut kembung
Nyeri sendi
Sakit kepala","Myristicin, safrole, eugenol"
,Pandan,Pandanus amaryllifolius,Pandan (Indonesia); Rampe (Bali); Pondago (Sulawesi),,"Adalah tanaman tropis yang daunnya sering digunakan sebagai pewarna dan pewangi alami dalam masakan. Daunnya mengandung senyawa bioaktif dengan sifat antimikroba dan antioksidan. Khasiatnya meliputi membantu meredakan stres, meningkatkan nafsu makan, dan memperbaiki kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan dan menyegarkan.","Stres
Perut kembung
Iritasi kulit
Bau badan
Bau mulut","Minyak atsiri, alkaloid, tanin"
,Pare,Momordica charantia,Paria (Sunda); Kambeh (Sumatera); Poya (Sulawesi); Pepule (Nusa Tenggara),,"Adalah tanaman sayuran dengan buah yang khas dan rasa pahit. Buahnya mengandung senyawa bioaktif yang dikenal memiliki sifat antidiabetes dan antioksidan. Khasiatnya meliputi membantu menurunkan kadar gula darah, meningkatkan kekebalan tubuh, dan melancarkan pencernaan. Selain itu, tanaman ini juga dipercaya dapat memperbaiki fungsi hati.","Sembelit
Bau badan
Kolesterol
Jerawat
Mual","Charantin, vicine, polipeptida-p"
,Pegagan,Centella asiatica,Antanan (Sunda); Kos tekosan (Madura); Kori-korin (Halmahera); Dau tungke (Bugis),,"Adalah tanaman herbal dengan daun kecil yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antiinflamasi dan penenang. Khasiatnya meliputi membantu meningkatkan konsentrasi, mempercepat penyembuhan luka, dan mengurangi stres. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Stres
Jerawat
Nyeri otot
Sakit kepala
Mual","Asiaticoside, madecassoside, triterpenoid"
,Pepaya,Carica papaya,Pepaya (Indonesia); Gedang (Sunda); Telo gantung (Jawa),,"Adalah tanaman buah tropis yang buah dan daunnya sering digunakan dalam pengobatan tradisional. Buahnya mengandung enzim papain yang membantu melancarkan pencernaan. Khasiatnya meliputi membantu meningkatkan imunitas, meredakan nyeri perut, dan mempercepat penyembuhan luka. Selain itu, daun pepaya juga dipercaya mampu meningkatkan jumlah trombosit.","Bau badan
Sakit tenggorokan
Gangguan pencernaan
Kulit kering
Kelelahan","Papain, karpain, vitamin A"
,Petai,Parkia speciosa,Petai (Indonesia); Lamtoro (Jawa),,"Adalah tanaman tropis yang bijinya sering dikonsumsi sebagai lalapan. Biji petai mengandung senyawa bioaktif yang memiliki sifat diuretik dan antioksidan. Khasiatnya meliputi membantu melancarkan buang air kecil, mengontrol tekanan darah, dan menjaga kesehatan ginjal. Selain itu, tanaman ini juga dipercaya mampu meningkatkan stamina.","Kelelahan
Sembelit
Kulit gatal
Pusing
Perut kembung","Asam amino, vitamin C, tiamin"
,Pinang,Areca catechu,Jambe (Jawa); Kahat (Kalimantan); Batang mayang (Sumatera),,"Adalah tanaman palma yang bijinya sering digunakan dalam pengobatan tradisional. Biji pinang mengandung senyawa bioaktif yang dikenal memiliki sifat anthelmintik dan stimulan. Khasiatnya meliputi membantu mengatasi cacingan, meningkatkan energi, dan menjaga kesehatan gigi. Selain itu, tanaman ini juga dipercaya mampu memperbaiki sistem metabolisme tubuh.","Pusing
Bau badan
Sakit tenggorokan
Kelelahan
Sembelit","Arecoline, tanin, alkaloid"
,Putri malu,Mimosa pudica,Putri malu (Indonesia); Tara dewa (Sumba); Sikerput (Batak),,"Adalah tanaman perdu yang sering digunakan dalam pengobatan tradisional untuk menenangkan pikiran. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan penenang. Khasiatnya meliputi membantu mengatasi insomnia, meredakan nyeri, dan meningkatkan kualitas tidur. Selain itu, tanaman ini juga dipercaya mampu memperbaiki suasana hati.","Pusing
Nyeri otot
Stres
Perut kembung
Sakit kepala","Mimosin, tanin, alkaloid"
,Rambutan,Nephelium lappaceum,Rambutan (Indonesia); Corogol (Jawa);  Sagalong (Kalimantan),,"Adalah tanaman buah tropis dengan kulit berbulu yang sering dikonsumsi. Buahnya kaya akan vitamin C dan senyawa bioaktif dengan sifat antioksidan. Khasiatnya meliputi membantu meningkatkan daya tahan tubuh, melindungi kesehatan kulit, dan memperbaiki fungsi pencernaan. Selain itu, tanaman ini juga dipercaya mampu menurunkan kadar kolesterol.","Sakit tenggorokan
Gangguan pencernaan
Kulit gatal
Kelelahan
Batuk","Vitamin C, flavonoid, saponin"
,Rincik Bumi,Phyllanthus niruri,Meniran (Indonesia); Sangga langit (Jawa),,"Adalah tanaman herbal kecil yang sering digunakan untuk kesehatan ginjal dan hati. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antiradang dan antimikroba. Khasiatnya meliputi membantu meluruhkan batu ginjal, meningkatkan kekebalan tubuh, dan memperbaiki fungsi hati. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan saluran kemih.","Demam
Mual
Batuk
Sakit kepala
Nyeri sendi","Lignan, flavonoid, tanin"
,Rumput Mutiara,Hedyotis corymbosa,Rumput mutiara (Indonesia); Urek-urek polo (Jawa); Pengka (Makassar),,"Adalah tanaman herbal kecil yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, mengatasi infeksi ringan, dan memperbaiki kesehatan hati. Selain itu, tanaman ini juga dipercaya mampu mempercepat penyembuhan luka.","Luka bakar ringan
Demam
Gangguan pencernaan
Kulit gatal
Stress","Asam ursolat, flavonoid, iridoid"
,Ruku-ruku,Ocimum tenuiflorum,Kemangi (Indonesia),,"Adalah tanaman aromatik dengan daun kecil yang sering digunakan sebagai lalapan atau obat tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antiseptik dan antioksidan. Khasiatnya meliputi membantu meningkatkan nafsu makan, meredakan stres, dan menjaga kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu meningkatkan kualitas tidur.","Sakit tenggorokan
Nyeri haid
Jerawat
Nyeri sendi
Kram perut","Eugenol, linalool, vitamin K"
,Rosella,Hibiscus sabdariffa,Rosella (Indonesia),,"Adalah tanaman herbal dengan kelopak bunga merah yang sering dijadikan minuman sehat. Kelopaknya mengandung senyawa bioaktif dengan sifat antihipertensi dan antioksidan. Khasiatnya meliputi membantu menurunkan tekanan darah, meningkatkan kesehatan jantung, dan menjaga elastisitas kulit. Selain itu, tanaman ini juga dipercaya mampu memperbaiki metabolisme tubuh.","Sakit kepala
Demam
Mual
Sakit perut
Kelelahan
Kolesterol","Anthocyanin, vitamin C, asam organik"
,Remek watu,Hemigraphis alternata,Keji beling (Indonesia),,"Adalah tanaman herbal dengan daun berbentuk oval yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antidiabetes dan diuretik. Khasiatnya meliputi membantu meluruhkan batu ginjal, menurunkan kadar gula darah, dan memperbaiki kesehatan saluran kemih. Selain itu, tanaman ini juga dipercaya mampu mempercepat penyembuhan luka.","Sakit kepala
Nyeri otot
Sakit perut
Kolesterol
Batuk","Flavonoid, tanin, saponin"
,Ranggitan,Melastoma malabathricum,Kembang senduduk (Indonesia),,"Adalah tanaman berbunga yang sering digunakan dalam pengobatan tradisional. Bunganya mengandung senyawa bioaktif dengan sifat antiradang dan antimikroba. Khasiatnya meliputi membantu meredakan diare, mengatasi infeksi kulit, dan memperbaiki kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu menjaga keseimbangan mikroflora usus.","Demam
Sakit kepala
Pusing
Nyeri otot
Sembelit
Batuk","Tanin, flavonoid, antosianin"
,Zaitun,Olea europaea,Zaitun (Indonesia); Olive (Inggris),,"Adalah tanaman buah dengan minyak yang sering digunakan untuk kesehatan. Minyaknya mengandung senyawa bioaktif dengan sifat antioksidan dan antiinflamasi. Khasiatnya meliputi membantu menjaga kesehatan jantung, meningkatkan elastisitas kulit, dan melindungi tubuh dari radikal bebas. Selain itu, minyak zaitun juga dipercaya mampu menurunkan kadar kolesterol.","Stres
Kolesterol
Sakit kepala
Perut kembung
Jerawat","Asam oleat, polifenol, vitamin E"
,Akar bajakah,Spatholobus littoralis,Bajakah (Kalimantan); Bajakah Kayu (Sulawesi),,"Adalah tanaman herbal dengan akar yang sering digunakan dalam pengobatan tradisional. Akarnya mengandung senyawa bioaktif dengan sifat antikanker dan antioksidan. Khasiatnya meliputi membantu meningkatkan daya tahan tubuh, mengatasi infeksi ringan, dan memperbaiki kesehatan saluran pencernaan. Selain itu, tanaman ini juga dipercaya mampu mempercepat penyembuhan luka.","Pusing
Demam
Nyeri haid
Perut kembung
Mual
Sakit kepala","Flavonoid, saponin, tanin"
,Akar wangi,Vetiveria zizanioides,Useur (Gayo); Usar (Batak); Akar Babau (Minangkabau); Akar Banda (Timor); Iser (Sumatera Utara); Usa (Makasar); Usar (Sunda); Larasetu (Jawa),,"Adalah tanaman herbal dengan akar yang sering digunakan sebagai aromaterapi dan obat tradisional. Akarnya mengandung senyawa bioaktif dengan sifat antiseptik dan menenangkan. Khasiatnya meliputi membantu meredakan stres, meningkatkan kualitas tidur, dan menjaga kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu mengurangi gejala kecemasan.","Kelelahan
Sakit kepala
Nyeri haid
Tidak nafsu makan
Susah tidur","Vetiverol, minyak atsiri, tanin"
,Beluntas,Pluchea indica,Luntas (Jawa); Baluntas (Madura); Baruntas (Sunda); Lamutasa (Makasar); Lenaboui (Timor),,"Adalah tanaman herbal dengan daun kecil yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu mengatasi bau badan, meredakan nyeri sendi, dan memperbaiki kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu meningkatkan nafsu makan.","Stres
Perut kembung
Tidak nafsu makan
Kulit gatal
Susah tidur
Pusing","Flavonoid, tanin, saponin"
,Bidara,Ziziphus mauritiana,"Bukkol (Rote); Bedara (Alor); Bidara (Makassar, Bugis); Bekul (Bali)",,"Adalah tanaman herbal dengan daun yang sering digunakan untuk kesehatan dan spiritual. Daunnya mengandung senyawa bioaktif dengan sifat antiseptik dan penenang. Khasiatnya meliputi membantu mengatasi gangguan tidur, mempercepat penyembuhan luka, dan meningkatkan kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu memperbaiki keseimbangan energi tubuh.","Susah tidur
Iritasi kulit
Sakit tenggorokan
Sakit perut
Mual
Stres","Saponin, flavonoid, alkaloid"
,Bayam duri,Amaranthus spinosus,Bayem Eri (Jawa); Senggang Cucuk (Sunda); Bayam Keruai (Lampung); Ternyak Duri (Madura); Podo Maduri (Bugis),,"Adalah tanaman liar dengan daun yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antiinflamasi dan antimikroba. Khasiatnya meliputi membantu mempercepat penyembuhan luka, meredakan demam, dan memperbaiki kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu meningkatkan stamina tubuh.","Sakit perut
Batuk
Kulit gatal
Sakit kepala
Perut kembung
Susah tidur","Flavonoid, saponin, tanin"
,Binahong,Anredera cordifolia,Gendola (Jawa); Gendele (Nusa Tenggara); Kandula (Sulawesi),,"Adalah tanaman merambat dengan daun berbentuk hati yang sering digunakan untuk kesehatan. Daunnya mengandung senyawa bioaktif dengan sifat antiinflamasi dan mempercepat penyembuhan luka. Khasiatnya meliputi membantu meredakan nyeri, memperbaiki fungsi metabolisme, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya mampu menjaga daya tahan tubuh.","Kelelahan
Sakit perut
Mual
Susah tidur
Pusing
Sembelit","Saponin, flavonoid, tanin"
,Buah merah,Pandanus conoideus,"Kuansu, Marita (Papua); Saga (Sulawesi) ",,"Adalah tanaman endemik Papua yang buahnya sering digunakan untuk kesehatan. Buahnya mengandung senyawa bioaktif dengan sifat antikanker dan antioksidan. Khasiatnya meliputi membantu meningkatkan daya tahan tubuh, melindungi kesehatan jantung, dan memperbaiki fungsi hati. Selain itu, tanaman ini juga dipercaya mampu menurunkan kadar kolesterol.","Kolesterol
Sakit perut
Nyeri sendi
Batuk
Demam
Sakit kepala","Karotenoid, tokoferol, asam lemak"
,Cocor bebek,Kalanchoe pinnata,"Ceker Itik (Sunda); Suru Bebek, Sosor Bebek, Teres (Jawa); Sidingin Beueu (Aceh)",,"Adalah tanaman sukulen dengan daun berdaging yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antiinflamasi dan antiseptik. Khasiatnya meliputi membantu meredakan iritasi kulit, mempercepat penyembuhan luka, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Sakit tenggorokan
Perut kembung
Luka bakar ringan
Kulit gatal
Susah tidur","Flavonoid, tanin, saponin"
,Cakar ayam,Selaginella doederleinii,Rutu Rutu (Maluku); Rorak (Minahasa),,"Adalah tanaman paku-pakuan yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antikanker dan antioksidan. Khasiatnya meliputi membantu mengatasi peradangan, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu melindungi fungsi hati.","Kelelahan
Susah tidur
Bau badan
Nyeri sendi
Kulit gatal","Flavonoid, tanin, saponin"
,Cempaka putih,Michelia alba,Jeumpa Gadeng (Aceh); Cempaka Putieh (Minangkabau); Campaka Bodas (Sunda); Pecari Putih (Jawa); Campaka Pote (Madura),,"Adalah tanaman berbunga harum yang sering digunakan dalam pengobatan tradisional. Bunganya mengandung senyawa bioaktif dengan sifat antiseptik dan menenangkan. Khasiatnya meliputi membantu meredakan stres, meningkatkan kualitas tidur, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya mampu memperbaiki suasana hati.","Mual
Pusing
Bau badan
Stres
Gangguan pencernaan","Minyak atsiri, flavonoid, tanin"
,Duwet,Syzygium cumini,"Jamblang, Juwet (Jawa); Dhalas, Dhuwak (Madura); Jujutan (Bali)",,"Adalah tanaman buah tropis dengan rasa manis dan asam yang khas. Buahnya mengandung senyawa bioaktif dengan sifat antidiabetes dan antioksidan. Khasiatnya meliputi membantu menurunkan kadar gula darah, meningkatkan sistem kekebalan tubuh, dan menjaga kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu memperbaiki fungsi metabolisme tubuh.","Gula darah tinggi
Gangguan pencernaan
Kolesterol
Batuk
Pusing
Gusi berdarah","Flavonoid, antosianin, tanin"
,Ginseng,Panax ginseng,"Som Jawa, Kolesom Jawa (Jawa)",,"Adalah tanaman herbal yang sering digunakan dalam pengobatan tradisional untuk meningkatkan energi. Akarnya mengandung senyawa bioaktif dengan sifat adaptogen dan antiinflamasi. Khasiatnya meliputi membantu meningkatkan stamina, memperbaiki fungsi kognitif, dan memperkuat sistem imun. Selain itu, tanaman ini juga dipercaya mampu mengurangi gejala kelelahan.","Gangguan pencernaan
Stres
Susah tidur
Sakit kepala
Kelelahan
Kolesterol","Ginsenosides, flavonoid, saponin"
,Gojiberry,Lycium barbarum,"Keci (Jawa); Kici (Jawa, Sumatera); Kauki (Bali)",,"Adalah tanaman buah kecil merah yang sering digunakan dalam kesehatan. Buahnya mengandung senyawa bioaktif dengan sifat antioksidan dan meningkatkan imunitas. Khasiatnya meliputi membantu melindungi mata, memperbaiki metabolisme, dan meningkatkan kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu memperpanjang usia sel.","Kulit kering
Susah tidur
Tidak nafsu makan
Kolesterol
Kelelahan","Karotenoid, vitamin C, flavonoid"
,Gempur batu,Ruellia tuberosa,Keji Beling (Jawa); Tutup Bumi (Gayo),,"Adalah tanaman herbal dengan bunga ungu yang sering digunakan untuk kesehatan saluran kemih. Daunnya mengandung senyawa bioaktif dengan sifat diuretik dan antiinflamasi. Khasiatnya meliputi membantu meluruhkan batu ginjal, mengurangi peradangan, dan meningkatkan kesehatan saluran kemih. Selain itu, tanaman ini juga dipercaya mampu memperbaiki fungsi ginjal.","Sering buang air kecil
Demam
Tidak nafsu makan
Kelelahan
Perut kembung","Flavonoid, tanin, saponin"
,Gandum,Triticum aestivum,Beras Emas (Sumatra); Sereli (Kalimantan); Sekoi (Sulawesi); Jali (Bali),,"Adalah tanaman pangan utama yang bijinya sering digunakan sebagai bahan makanan dan obat tradisional. Gandum mengandung senyawa bioaktif yang memiliki sifat antioksidan dan meningkatkan kesehatan pencernaan. Khasiatnya meliputi membantu menjaga kadar gula darah, meningkatkan energi, dan memperbaiki fungsi metabolisme. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan jantung.","Kulit kering
Nyeri otot
Kolesterol
Sembelit
Susah tidur","Serat, vitamin B, mineral"
,Jati belanda,Guazuma ulmifolia,"Jati Londo, Jati Landi, dan Jatos Landi (Jawa)",,"Adalah tanaman herbal yang daunnya sering digunakan dalam pengobatan tradisional untuk menurunkan berat badan. Daunnya mengandung senyawa bioaktif dengan sifat antidiabetes dan antioksidan. Khasiatnya meliputi membantu memperbaiki metabolisme, melancarkan pencernaan, dan mengurangi lemak tubuh. Selain itu, tanaman ini juga dipercaya mampu meningkatkan fungsi hati.","Tidak nafsu makan
Kelelahan
Susah tidur
Perut kembung
Gusi berdarah
Kolesterol
Stres
Sembelit
Luka","Flavonoid, tanin, saponin"
,Jahe,Zingiber officinale,"Jae (Jawa, Bali); Jhai (Madura); Lai (Dayak); Halia (Aceh)",,"Adalah tanaman rimpang yang sering digunakan sebagai bumbu dapur dan obat tradisional. Rimpangnya mengandung senyawa bioaktif dengan sifat antiinflamasi dan antimikroba. Khasiatnya meliputi membantu meredakan mual, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu menghangatkan tubuh.","Kram perut
Gangguan pencernaan
Pusing
Nyeri sendi
Gusi berdarah","Gingerol, shogaol, minyak atsiri"
,Jahe merah ,Zingiber officinale var. rubrum,Jahe Sunti (Sumatra); Jahe Emprit (Jawa); Jahe Randha (Bali); Jahe Lemba (Sulawesi),,"Adalah jenis jahe yang memiliki rimpang lebih kecil dan rasa lebih pedas. Rimpangnya mengandung senyawa bioaktif dengan sifat antiradang dan meningkatkan stamina. Khasiatnya meliputi membantu mengatasi nyeri otot, memperbaiki sirkulasi darah, dan meningkatkan imunitas. Selain itu, tanaman ini juga dipercaya mampu memperbaiki metabolisme tubuh.","Mual
Sakit kepala
Pilek
Stres
Batuk
Sembelit","Gingerol, shogaol, minyak atsiri"
,Jeringau,Acorus calamus,Jeureunge (Aceh); Jerango (Gayo); Jhrongo (Madura); Jaringo (Sunda); Jangu (Bali),,"Adalah tanaman herbal yang rimpangnya sering digunakan dalam pengobatan tradisional. Rimpangnya mengandung senyawa bioaktif dengan sifat antiseptik dan menenangkan. Khasiatnya meliputi membantu mengatasi gangguan pencernaan, meredakan stres, dan memperbaiki kualitas tidur. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan saraf.","Sesak nafas
Susah tidur
Luka
Pusing
Kelelahan","Minyak atsiri, flavonoid, tanin"
,Jambu biji,Psidium guajava,Jambu Kluthuk (Jawa); Glima Breueh (Aceh); Darnbu (Gorontalo); Guawa (Ende); Lutu Hatu (Ambon),,"Adalah tanaman buah tropis yang kaya vitamin C dan sering digunakan untuk meningkatkan kesehatan. Buah dan daunnya mengandung senyawa bioaktif dengan sifat antidiabetes dan antiinflamasi. Khasiatnya meliputi membantu mengatasi diare, meningkatkan daya tahan tubuh, dan menjaga kesehatan kulit. Selain itu, tanaman ini juga dipercaya mampu melindungi fungsi pencernaan.","Gusi berdarah
Kulit gatal
Bau badan
Demam
Sakit kepala","Vitamin C, flavonoid, tanin"
,Jintan,Cuminum cyminum,Jinten Putih (Jawa); Ginten (Bali); Jinten Bodas (Sunda); Jhinten pote (Madura),,"Adalah tanaman rempah yang sering digunakan sebagai bumbu masakan dan obat tradisional. Biji jintan mengandung senyawa bioaktif dengan sifat karminatif dan antioksidan. Khasiatnya meliputi membantu meredakan perut kembung, meningkatkan pencernaan, dan mengatasi gangguan pernapasan ringan. Selain itu, tanaman ini juga dipercaya mampu meningkatkan metabolisme.","Luka bakar ringan
Pilek
Mata lelah
Gusi berdarah
Tidak nafsu makan","Minyak atsiri, flavonoid, tanin"
,Kalendula,Calendula officinalis,"Kembang Turi, Kembang Sutra (Jawa)",,"Adalah tanaman berbunga yang sering digunakan dalam pengobatan tradisional untuk kesehatan kulit. Bunganya mengandung senyawa bioaktif dengan sifat antimikroba dan mempercepat penyembuhan luka. Khasiatnya meliputi membantu meredakan iritasi kulit, memperbaiki elastisitas kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Iritasi kulit
Luka
Kulit kering
Jerawat
Infeksi jamur","Flavonoid, saponin, minyak atsiri"
,Kembang telang,Clitoria ternatea,Bunga Telang (Sumatra); Kembang Teleng (Jawa); Bunga Talang (Sulawesi),,"Adalah tanaman hias dengan bunga biru yang sering digunakan sebagai pewarna alami dan obat tradisional. Bunganya mengandung senyawa bioaktif dengan sifat antioksidan dan antidiabetes. Khasiatnya meliputi membantu melindungi kesehatan mata, memperbaiki daya ingat, dan menjaga elastisitas kulit. Selain itu, tanaman ini juga dipercaya mampu meningkatkan kualitas tidur.","Kulit kering
Pusing
Susah tidur
Stres
Sakit kepala","Anthocyanin, flavonoid, saponin"
,Kenikir,Cosmos caudatus,Raramidang (Sunda); Cokra-Cakri (Jawa),,"Adalah tanaman sayuran dengan daun kecil yang sering digunakan dalam masakan dan pengobatan tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antiinflamasi dan antioksidan. Khasiatnya meliputi membantu meningkatkan nafsu makan, memperbaiki fungsi metabolisme, dan menjaga kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu meningkatkan stamina tubuh.","Lemas
Tidak nafsu makan
Gangguan pencernaan
Pusing
Nyeri sendi","Flavonoid, tanin, vitamin"
,Ketumbar,Coriandrum sativum,"Katuncar (Sunda); Katombar (Madura), Ketumba (Aceh), Hatumbar (Medan)",,"Adalah tanaman rempah yang bijinya sering digunakan sebagai bumbu masakan dan obat tradisional. Bijinya mengandung senyawa bioaktif dengan sifat karminatif dan antioksidan. Khasiatnya meliputi membantu melancarkan pencernaan, meredakan perut kembung, dan meningkatkan nafsu makan. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan jantung.","Mual
Nyeri haid
Susah tidur
Mata lelah
Kelelahan","Minyak atsiri, flavonoid, tanin"
,Kemangi,Ocimum basilicum,Lampes (Jawa); Kemangek (Madura); Uku-Uku (Bali),,"Adalah tanaman aromatik dengan daun harum yang sering digunakan sebagai lalapan dan obat tradisional. Daunnya mengandung senyawa bioaktif dengan sifat antiseptik dan penenang. Khasiatnya meliputi membantu mengatasi bau badan, meredakan stres, dan meningkatkan kualitas tidur. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan saluran pencernaan.","Perut kembung
Mual
Nyeri haid
Kulit gatal
Mata lelah","Eugenol, linalool, vitamin K"
,Lamtoro,Leucaena leucocephala,"Kemlandingan, Metir (Jawa); Kalandhingan (Madura).",,"Adalah tanaman tropis yang bijinya sering digunakan sebagai pakan ternak dan obat tradisional. Bijinya mengandung senyawa bioaktif dengan sifat antidiabetes dan meningkatkan metabolisme. Khasiatnya meliputi membantu menurunkan kadar gula darah, meningkatkan energi, dan menjaga kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya mampu memperbaiki fungsi hati.","Luka
Bau badan
Nyeri otot
Perut kembung
Gangguan pencernaan","Mimosin, protein, karbohidrat"
